age,annual_income,loan_amount,credit_score,employment_years,existing_loans,dependents,missed_payments,debt_to_income_ratio,education,employment_type,residence_type,marital_status,loan_purpose,default
26,569824,395535,622,6,4,1,4,69.41,Graduate,Salaried,Rented,Married,Business,1
32,180000,290198,645,4,1,4,0,95.0,Diploma,Business,Rented,Married,Home,1
42,657933,248002,734,0,3,4,2,37.69,Diploma,Salaried,Rented,Single,Education,0
33,648981,451529,678,11,1,2,3,69.58,Graduate,Salaried,Rented,Married,Business,1
25,880017,224122,704,5,1,3,5,25.47,Graduate,Salaried,Owned,Divorced,Home,1
46,911280,460756,604,16,0,1,3,50.56,Graduate,Salaried,Rented,Married,Home,1
47,694611,375907,658,3,4,3,5,54.12,Graduate,Self-Employed,Owned,Single,Personal,1
25,539921,334255,731,12,0,0,5,61.91,Postgraduate,Business,Rented,Married,Vehicle,0
31,756735,320372,732,10,1,4,1,42.34,High School,Salaried,Owned,Divorced,Vehicle,1
30,533858,275504,639,12,2,2,1,51.61,Postgraduate,Business,Mortgaged,Single,Vehicle,0
46,649694,446390,701,2,2,2,6,68.71,Graduate,Salaried,Rented,Single,Business,1
49,866950,178852,844,9,1,0,4,20.63,Graduate,Self-Employed,Owned,Single,Education,0
49,527290,72930,689,12,1,2,5,13.83,Diploma,Salaried,Owned,Married,Personal,1
57,827249,386022,641,6,1,0,6,46.66,Diploma,Self-Employed,Owned,Single,Education,1
50,799028,388373,678,17,4,4,2,48.61,Graduate,Salaried,Rented,Single,Home,1
33,439946,367234,696,10,2,3,0,83.47,High School,Unemployed,Rented,Married,Education,1
25,864257,357082,679,7,4,2,6,41.32,Postgraduate,Unemployed,Rented,Single,Home,1
44,803685,255124,688,0,4,4,4,31.74,High School,Business,Mortgaged,Single,Personal,1
56,672424,410248,589,3,3,4,0,61.01,High School,Business,Rented,Married,Home,1
59,482289,293622,623,9,4,0,3,60.88,Diploma,Salaried,Rented,Single,Home,1
29,460975,231804,680,8,0,0,0,50.29,Graduate,Self-Employed,Rented,Divorced,Education,1
30,531714,256335,678,17,4,1,2,48.21,Graduate,Salaried,Rented,Single,Home,1
22,769371,582890,650,15,2,0,2,75.76,Diploma,Business,Rented,Married,Education,1
26,439762,57103,678,3,3,2,3,12.99,Graduate,Salaried,Rented,Married,Education,1
42,746253,369970,694,11,1,2,3,49.58,Graduate,Salaried,Owned,Single,Personal,0
42,376814,64925,752,9,0,2,5,17.23,High School,Self-Employed,Owned,Single,Home,1
35,605105,284847,683,2,4,0,2,47.07,High School,Salaried,Owned,Married,Business,1
33,674123,239292,718,13,2,4,5,35.5,High School,Business,Mortgaged,Single,Business,1
53,1187929,50000,652,10,0,4,6,4.21,High School,Salaried,Rented,Single,Home,1
38,346991,354465,730,1,3,2,5,95.0,High School,Self-Employed,Owned,Divorced,Business,1
52,973843,246795,716,9,0,0,1,25.34,Graduate,Business,Owned,Married,Personal,1
58,682965,50000,751,14,2,1,4,7.32,High School,Self-Employed,Rented,Divorced,Personal,1
33,740458,417540,740,6,3,3,1,56.39,High School,Salaried,Mortgaged,Single,Personal,0
28,676037,500901,731,7,3,3,3,74.09,Diploma,Salaried,Mortgaged,Single,Business,1
58,747840,508617,683,2,2,1,4,68.01,Graduate,Salaried,Mortgaged,Married,Vehicle,1
45,616189,350254,707,4,1,4,2,56.84,Graduate,Salaried,Mortgaged,Single,Personal,1
32,969891,306448,764,19,4,4,0,31.6,High School,Self-Employed,Owned,Single,Vehicle,0
45,549576,485942,644,12,0,2,5,88.42,Graduate,Salaried,Owned,Single,Business,1
41,899092,535534,646,3,0,1,5,59.56,Graduate,Salaried,Rented,Single,Personal,1
56,508239,458700,703,9,0,2,0,90.25,Diploma,Salaried,Rented,Married,Personal,1
30,636745,168185,719,3,4,0,2,26.41,Postgraduate,Unemployed,Owned,Single,Personal,1
59,414168,328188,632,8,2,2,1,79.24,Graduate,Salaried,Rented,Divorced,Home,1
57,750105,361532,685,2,0,0,6,48.2,Graduate,Salaried,Owned,Single,Business,0
28,967928,50000,683,12,0,0,6,5.17,Graduate,Salaried,Owned,Single,Home,0
27,632982,365710,535,11,0,2,4,57.78,High School,Salaried,Owned,Single,Personal,1
41,606685,618219,675,12,4,2,3,95.0,Postgraduate,Unemployed,Mortgaged,Married,Business,1
22,404784,389591,679,8,2,4,0,95.0,Graduate,Salaried,Rented,Married,Home,1
32,599556,506278,679,5,0,2,1,84.44,Graduate,Self-Employed,Rented,Married,Personal,1
37,299585,325608,789,4,1,4,0,95.0,Graduate,Self-Employed,Rented,Single,Education,0
58,449167,289749,605,4,3,4,5,64.51,Graduate,Business,Rented,Single,Education,1
59,699893,353378,632,8,2,1,0,50.49,Graduate,Self-Employed,Owned,Married,Personal,1
26,940183,185784,507,9,4,4,4,19.76,High School,Business,Rented,Single,Business,1
55,1268026,165071,656,13,0,2,6,13.02,Graduate,Salaried,Owned,Married,Business,1
24,520951,477283,662,1,0,2,2,91.62,Graduate,Self-Employed,Rented,Single,Home,1
50,965766,492128,654,5,0,0,4,50.96,Postgraduate,Business,Owned,Single,Home,1
53,703626,161245,768,17,1,1,6,22.92,Postgraduate,Self-Employed,Rented,Married,Home,1
55,616726,435520,750,18,3,2,2,70.62,Graduate,Self-Employed,Rented,Single,Vehicle,0
29,745171,287826,695,18,3,1,3,38.63,Graduate,Salaried,Owned,Divorced,Vehicle,1
55,663622,347573,664,6,1,2,1,52.38,Graduate,Salaried,Rented,Married,Education,0
25,674287,364431,762,2,3,0,2,54.05,Graduate,Salaried,Rented,Divorced,Business,0
41,560167,439209,689,3,3,1,6,78.41,High School,Salaried,Rented,Married,Home,1
39,342416,311581,633,2,0,3,4,90.99,Graduate,Salaried,Owned,Single,Business,1
33,310402,497423,570,19,3,3,1,95.0,High School,Salaried,Owned,Married,Personal,1
21,793714,343318,659,17,2,4,3,43.25,High School,Self-Employed,Owned,Single,Home,1
51,589126,387386,743,16,0,4,4,65.76,Graduate,Business,Mortgaged,Married,Business,0
34,518860,183343,849,14,1,4,0,35.34,Graduate,Self-Employed,Mortgaged,Single,Home,0
46,651871,602212,694,6,3,0,5,92.38,Graduate,Self-Employed,Owned,Divorced,Education,1
36,824885,365775,636,9,3,3,1,44.34,Graduate,Salaried,Rented,Married,Business,1
35,689680,399820,607,16,1,1,2,57.97,High School,Salaried,Rented,Married,Home,1
55,505668,74854,729,16,3,1,2,14.8,Graduate,Self-Employed,Mortgaged,Married,Vehicle,0
24,919784,184822,566,10,1,1,3,20.09,Diploma,Business,Owned,Married,Personal,1
49,997421,473304,729,16,2,2,6,47.45,Postgraduate,Business,Rented,Married,Vehicle,1
50,758802,340165,747,6,0,0,1,44.83,High School,Self-Employed,Rented,Married,Business,0
35,864206,50000,721,8,4,2,1,5.79,High School,Business,Owned,Single,Business,0
31,923231,445361,675,16,4,0,2,48.24,Postgraduate,Business,Owned,Married,Home,1
21,898622,223870,730,7,0,2,6,24.91,Diploma,Business,Owned,Single,Business,1
57,785102,497584,702,15,2,3,6,63.38,Diploma,Business,Rented,Married,Education,0
57,781636,287703,636,9,3,0,3,36.81,Graduate,Salaried,Rented,Married,Home,0
30,764325,328659,820,5,2,0,4,43.0,Graduate,Salaried,Rented,Single,Personal,0
22,408586,465054,665,4,1,4,6,95.0,Postgraduate,Salaried,Owned,Married,Education,1
25,804159,174351,744,12,4,3,5,21.68,Graduate,Self-Employed,Mortgaged,Married,Business,1
23,351721,161001,521,9,1,1,4,45.78,High School,Business,Owned,Married,Home,1
53,475188,272490,779,7,1,4,3,57.34,Postgraduate,Salaried,Mortgaged,Married,Home,0
55,936784,415804,793,14,1,1,6,44.39,Postgraduate,Salaried,Owned,Married,Business,0
26,834848,113677,692,0,4,4,1,13.62,High School,Business,Mortgaged,Married,Business,1
50,977228,66475,729,1,2,0,2,6.8,Graduate,Salaried,Mortgaged,Single,Vehicle,0
27,590232,415321,729,19,3,3,4,70.37,High School,Business,Mortgaged,Single,Business,1
35,396505,215583,645,13,4,0,0,54.37,Graduate,Salaried,Rented,Married,Education,1
44,597104,245088,728,10,4,0,3,41.05,High School,Salaried,Owned,Single,Vehicle,1
49,672447,50000,633,0,4,2,5,7.44,High School,Salaried,Rented,Single,Personal,0
55,667378,204943,647,11,4,0,1,30.71,Graduate,Salaried,Rented,Single,Business,1
22,899410,298941,769,8,4,2,5,33.24,High School,Salaried,Rented,Single,Education,0
28,570521,430253,758,11,4,1,2,75.41,Graduate,Salaried,Mortgaged,Divorced,Personal,0
31,727448,192028,641,0,3,0,6,26.4,High School,Salaried,Owned,Single,Education,1
33,432502,532033,639,11,0,4,4,95.0,High School,Salaried,Owned,Single,Personal,1
59,749070,204162,645,11,0,4,1,27.26,Postgraduate,Business,Mortgaged,Divorced,Personal,0
51,650684,204367,741,5,3,4,5,31.41,High School,Salaried,Owned,Divorced,Vehicle,1
33,485041,515230,620,1,1,0,0,95.0,Diploma,Salaried,Owned,Single,Education,1
58,598118,329604,715,19,4,1,1,55.11,High School,Salaried,Owned,Divorced,Personal,1
40,609481,222717,742,14,4,1,6,36.54,High School,Unemployed,Rented,Single,Personal,1
40,590566,278281,684,12,3,1,6,47.12,High School,Business,Mortgaged,Married,Home,1
37,1039695,489430,761,15,3,2,0,47.07,Postgraduate,Unemployed,Owned,Single,Vehicle,0
26,628342,505268,669,13,1,2,2,80.41,High School,Unemployed,Rented,Single,Vehicle,1
57,596343,185649,675,2,2,2,0,31.13,Diploma,Salaried,Rented,Single,Personal,0
21,188561,294059,622,9,4,1,1,95.0,Graduate,Self-Employed,Rented,Married,Personal,1
27,453274,312622,761,17,4,4,6,68.97,Graduate,Salaried,Rented,Single,Personal,1
29,592124,161926,636,5,1,4,1,27.35,Graduate,Business,Mortgaged,Married,Vehicle,0
31,499112,292204,714,19,4,1,4,58.54,Graduate,Salaried,Owned,Married,Personal,1
26,953976,300745,685,1,2,1,5,31.53,Postgraduate,Salaried,Owned,Single,Home,0
21,613714,459629,616,6,4,2,6,74.89,Graduate,Unemployed,Rented,Divorced,Education,1
47,933458,469040,647,7,2,1,2,50.25,High School,Business,Rented,Single,Vehicle,1
58,663575,253911,787,12,3,4,4,38.26,Graduate,Unemployed,Rented,Single,Education,0
25,658190,270047,704,3,0,2,3,41.03,Graduate,Salaried,Owned,Single,Business,0
32,630465,393001,619,4,1,0,0,62.34,High School,Salaried,Owned,Single,Vehicle,1
40,650835,218074,711,13,3,0,1,33.51,Postgraduate,Salaried,Mortgaged,Single,Home,1
57,1028135,382410,680,5,4,0,5,37.19,Postgraduate,Salaried,Owned,Married,Personal,1
48,180000,287693,850,17,0,1,4,95.0,High School,Salaried,Rented,Married,Home,0
50,209660,164284,710,17,0,1,3,78.36,Diploma,Salaried,Rented,Married,Education,1
43,530502,166043,663,6,3,4,5,31.3,High School,Business,Owned,Married,Home,1
37,653196,502588,789,11,2,4,4,76.94,Graduate,Salaried,Owned,Married,Vehicle,0
28,801823,278101,561,6,4,0,2,34.68,Graduate,Self-Employed,Owned,Single,Vehicle,0
54,754079,529650,697,6,0,4,2,70.24,Diploma,Business,Rented,Married,Business,0
52,565466,228091,830,13,1,2,6,40.34,High School,Self-Employed,Owned,Divorced,Education,0
21,874190,340769,682,5,0,1,6,38.98,High School,Salaried,Rented,Single,Vehicle,1
48,876643,634975,569,2,3,2,0,72.43,High School,Salaried,Owned,Married,Personal,1
24,690493,151966,662,5,4,2,5,22.01,Graduate,Salaried,Owned,Divorced,Home,1
49,861785,50000,792,18,0,0,0,5.8,Postgraduate,Business,Owned,Married,Personal,0
53,709982,480123,716,5,1,4,6,67.62,High School,Salaried,Owned,Divorced,Vehicle,0
26,526474,184247,631,7,4,0,4,35.0,Diploma,Salaried,Owned,Single,Personal,1
37,803520,297101,642,12,0,0,4,36.97,Graduate,Unemployed,Mortgaged,Married,Home,1
25,674335,217971,651,2,4,1,4,32.32,High School,Self-Employed,Owned,Single,Business,0
43,650295,337543,715,5,4,0,4,51.91,Graduate,Business,Rented,Single,Business,1
57,974050,166925,784,3,0,0,1,17.14,Diploma,Salaried,Rented,Divorced,Business,0
24,180000,274808,764,18,0,1,5,95.0,Graduate,Unemployed,Rented,Single,Personal,1
36,338109,362974,722,18,3,1,3,95.0,High School,Salaried,Rented,Divorced,Home,1
58,388845,158837,597,15,0,0,3,40.85,Graduate,Salaried,Owned,Married,Education,1
32,570083,201988,597,4,2,4,2,35.43,High School,Business,Rented,Divorced,Personal,1
26,593986,251366,727,12,0,4,0,42.32,High School,Business,Owned,Divorced,Personal,0
40,318388,99966,596,13,2,3,3,31.4,Graduate,Self-Employed,Rented,Married,Education,1
40,433265,240841,674,17,1,2,2,55.59,Diploma,Salaried,Owned,Divorced,Business,1
46,460615,316632,711,3,3,4,4,68.74,Diploma,Salaried,Rented,Married,Personal,1
33,1190633,244063,610,14,4,1,2,20.5,Diploma,Business,Rented,Married,Personal,1
58,1046383,262007,618,3,2,2,6,25.04,Graduate,Business,Rented,Married,Personal,1
41,559415,297214,683,11,3,0,4,53.13,High School,Salaried,Owned,Single,Personal,1
32,570012,208196,725,17,3,3,3,36.52,High School,Salaried,Rented,Single,Education,1
58,397175,396749,764,1,4,0,4,95.0,High School,Self-Employed,Rented,Single,Business,1
57,230211,501037,732,2,1,3,4,95.0,Postgraduate,Business,Rented,Married,Education,1
40,624286,234987,695,16,1,3,4,37.64,High School,Salaried,Owned,Single,Home,0
21,430473,367928,638,0,1,1,4,85.47,Graduate,Self-Employed,Owned,Married,Personal,1
44,631333,266454,615,13,3,3,6,42.2,Postgraduate,Unemployed,Owned,Married,Business,1
42,297955,351168,654,10,4,1,2,95.0,Graduate,Salaried,Rented,Married,Home,1
26,482366,519209,719,6,1,1,3,95.0,Graduate,Self-Employed,Owned,Divorced,Business,1
45,682698,371212,714,17,0,2,1,54.37,Graduate,Self-Employed,Rented,Divorced,Vehicle,0
53,730566,51722,543,16,3,1,3,7.08,Graduate,Self-Employed,Rented,Divorced,Home,1
25,741844,363559,635,6,2,3,6,49.01,High School,Business,Rented,Married,Business,1
49,359492,472601,774,0,1,1,4,95.0,High School,Self-Employed,Rented,Single,Business,1
26,838031,268977,696,2,0,2,1,32.1,Graduate,Self-Employed,Rented,Divorced,Education,0
50,473953,439389,591,2,4,4,6,92.71,High School,Salaried,Rented,Single,Home,1
37,789229,203384,850,19,4,1,5,25.77,Diploma,Business,Owned,Single,Business,1
21,647659,92025,688,11,3,2,3,14.21,Diploma,Salaried,Mortgaged,Single,Home,1
58,347195,319764,717,13,2,4,1,92.1,Diploma,Salaried,Mortgaged,Married,Personal,1
27,580437,54093,718,4,1,1,2,9.32,Diploma,Self-Employed,Rented,Married,Vehicle,0
44,730380,266432,664,17,2,0,5,36.48,High School,Self-Employed,Mortgaged,Single,Personal,1
28,784852,480158,639,14,0,1,4,61.18,Diploma,Unemployed,Mortgaged,Married,Home,1
57,618983,50000,839,15,1,4,1,8.08,Diploma,Business,Rented,Single,Home,0
49,986991,120870,760,9,2,3,1,12.25,Graduate,Business,Rented,Single,Education,1
52,871652,155515,748,13,2,4,6,17.84,Diploma,Salaried,Rented,Single,Personal,0
37,593536,291135,730,10,0,1,3,49.05,High School,Self-Employed,Owned,Single,Personal,0
39,815027,248800,620,7,4,4,4,30.53,High School,Unemployed,Owned,Married,Education,1
45,1075435,495879,779,11,1,1,2,46.11,Diploma,Salaried,Rented,Single,Vehicle,0
51,1081307,433609,631,6,2,3,0,40.1,Postgraduate,Business,Rented,Single,Home,1
54,379840,369338,710,19,2,4,2,95.0,Postgraduate,Self-Employed,Owned,Single,Business,1
21,446163,320388,575,14,2,1,4,71.81,High School,Salaried,Rented,Married,Vehicle,1
46,976682,355052,547,14,4,4,2,36.35,High School,Self-Employed,Rented,Divorced,Personal,1
25,417178,179322,712,14,3,3,4,42.98,Diploma,Salaried,Rented,Married,Education,1
32,359041,420009,633,8,4,3,3,95.0,Diploma,Salaried,Owned,Married,Personal,1
53,543037,144314,551,19,1,3,2,26.58,High School,Salaried,Rented,Divorced,Personal,1
30,742450,416953,728,4,1,0,1,56.16,Diploma,Salaried,Owned,Single,Home,0
52,627473,466060,838,11,2,3,1,74.28,Graduate,Salaried,Owned,Single,Education,0
39,506876,329521,787,1,2,1,1,65.01,Diploma,Business,Owned,Married,Personal,0
30,501673,275330,672,5,1,1,5,54.88,Graduate,Salaried,Owned,Single,Education,1
34,493286,356043,691,11,2,0,2,72.18,High School,Business,Owned,Married,Business,1
41,456508,50000,752,9,0,0,5,10.95,Graduate,Self-Employed,Rented,Married,Personal,1
50,1151959,342316,769,18,2,4,2,29.72,High School,Salaried,Rented,Single,Vehicle,0
44,715452,284130,666,12,3,1,2,39.71,Postgraduate,Salaried,Owned,Married,Personal,0
57,845087,292912,692,8,2,1,6,34.66,Graduate,Unemployed,Mortgaged,Single,Vehicle,1
54,542403,398915,711,8,4,2,6,73.55,High School,Self-Employed,Rented,Single,Business,1
50,609090,289532,729,12,4,3,2,47.54,High School,Unemployed,Mortgaged,Married,Vehicle,0
44,493018,140371,681,15,4,2,1,28.47,Graduate,Salaried,Rented,Married,Education,1
32,180000,280204,682,5,0,2,5,95.0,High School,Business,Owned,Single,Home,1
37,346838,309458,787,11,4,4,0,89.22,Graduate,Business,Mortgaged,Single,Home,0
25,251664,316091,775,11,1,2,3,95.0,Graduate,Unemployed,Mortgaged,Single,Education,1
35,180000,322669,723,0,2,3,4,95.0,Graduate,Salaried,Rented,Single,Vehicle,1
57,387021,445512,810,18,2,4,4,95.0,High School,Unemployed,Rented,Single,Business,1
37,941490,147955,663,11,1,3,0,15.71,High School,Salaried,Rented,Single,Home,0
25,640224,324598,804,4,4,0,0,50.7,High School,Business,Rented,Married,Home,0
46,933924,480590,728,12,3,1,1,51.46,Diploma,Self-Employed,Rented,Married,Home,0
58,740416,57154,850,13,4,3,0,7.72,High School,Self-Employed,Rented,Married,Education,0
54,822163,325151,607,18,4,2,3,39.55,High School,Salaried,Owned,Married,Vehicle,0
31,451803,218047,642,0,2,1,6,48.26,Diploma,Business,Owned,Married,Home,1
38,765269,248101,719,8,3,1,2,32.42,Postgraduate,Salaried,Owned,Married,Business,0
41,810317,173327,718,3,2,0,3,21.39,Graduate,Self-Employed,Owned,Divorced,Business,0
30,523138,276263,827,11,2,1,1,52.81,Graduate,Self-Employed,Owned,Married,Business,0
31,773099,557776,643,10,3,3,0,72.15,High School,Business,Mortgaged,Married,Vehicle,0
30,774561,122980,753,9,3,0,4,15.88,High School,Salaried,Owned,Married,Personal,1
59,529098,136255,771,19,4,4,1,25.75,Graduate,Self-Employed,Owned,Married,Business,0
50,402991,117729,739,10,3,1,3,29.21,Diploma,Self-Employed,Owned,Single,Business,0
53,389492,541839,623,8,3,4,4,95.0,Diploma,Self-Employed,Rented,Single,Home,1
52,669031,235272,789,1,4,1,5,35.17,Graduate,Self-Employed,Rented,Single,Vehicle,1
58,721942,296411,776,5,0,4,1,41.06,Graduate,Business,Rented,Single,Education,0
25,475644,243610,732,17,3,2,4,51.22,Graduate,Business,Mortgaged,Single,Vehicle,1
55,655849,167781,704,9,1,4,6,25.58,Postgraduate,Self-Employed,Mortgaged,Single,Business,1
23,775518,267079,706,18,2,0,3,34.44,Diploma,Salaried,Mortgaged,Single,Vehicle,1
39,786002,644154,684,10,3,3,0,81.95,High School,Self-Employed,Rented,Divorced,Home,1
44,991414,494890,735,10,1,1,1,49.92,Graduate,Salaried,Owned,Single,Home,0
34,930936,180589,692,8,4,1,5,19.4,Postgraduate,Salaried,Rented,Single,Home,1
26,429716,390660,631,11,2,0,5,90.91,Graduate,Business,Owned,Single,Education,1
28,1020389,183587,617,1,1,4,2,17.99,Postgraduate,Salaried,Rented,Single,Home,1
53,533185,51309,637,1,1,3,1,9.62,Postgraduate,Self-Employed,Owned,Married,Education,0
33,879872,442732,706,9,2,4,2,50.32,High School,Unemployed,Owned,Married,Vehicle,1
33,664957,462413,688,11,4,2,1,69.54,High School,Salaried,Owned,Single,Business,1
57,559327,446447,705,11,0,0,5,79.82,Diploma,Salaried,Rented,Married,Personal,1
26,252307,234219,725,8,2,1,5,92.83,Graduate,Salaried,Rented,Single,Personal,1
56,612256,276651,646,5,4,2,0,45.19,High School,Salaried,Owned,Married,Business,1
56,306936,404967,793,14,2,0,5,95.0,Graduate,Business,Rented,Divorced,Education,1
44,862806,354809,671,12,2,4,5,41.12,Graduate,Business,Owned,Divorced,Business,1
27,983694,244891,660,0,1,4,4,24.9,Diploma,Self-Employed,Rented,Single,Personal,1
27,474680,73330,724,9,0,2,6,15.45,High School,Salaried,Owned,Married,Education,1
32,716434,315943,561,14,3,2,0,44.1,Graduate,Self-Employed,Owned,Married,Home,1
43,490414,451061,635,15,4,3,4,91.98,Postgraduate,Salaried,Rented,Married,Personal,1
26,511733,132338,759,5,2,3,0,25.86,High School,Self-Employed,Rented,Single,Home,1
38,820389,389426,568,18,2,0,6,47.47,Diploma,Self-Employed,Mortgaged,Married,Personal,1
25,641522,346416,768,13,0,2,3,54.0,High School,Salaried,Rented,Single,Home,1
42,1032723,405021,796,8,4,3,0,39.22,Graduate,Business,Mortgaged,Single,Home,0
21,543909,422077,664,12,4,4,5,77.6,Postgraduate,Business,Owned,Married,Personal,1
48,869854,202775,710,17,4,2,5,23.31,Graduate,Salaried,Owned,Married,Business,1
23,671431,73626,768,4,1,4,3,10.97,Graduate,Self-Employed,Mortgaged,Single,Business,0
28,825071,225307,657,3,3,2,2,27.31,High School,Self-Employed,Owned,Married,Personal,1
27,551625,424478,751,8,2,1,0,76.95,High School,Salaried,Rented,Married,Personal,1
53,639097,224119,643,1,1,2,6,35.07,Graduate,Salaried,Owned,Divorced,Education,1
23,624590,202834,657,16,1,3,1,32.47,High School,Self-Employed,Rented,Married,Personal,0
37,466067,50000,634,19,1,4,5,10.73,High School,Unemployed,Owned,Married,Vehicle,1
44,795658,545371,714,12,2,1,4,68.54,High School,Self-Employed,Rented,Married,Home,1
41,793055,415600,771,19,0,1,4,52.4,Graduate,Self-Employed,Rented,Single,Personal,1
47,780582,407785,677,1,3,3,4,52.24,Postgraduate,Self-Employed,Owned,Single,Education,1
52,988132,435482,601,12,2,3,6,44.07,Graduate,Salaried,Owned,Divorced,Personal,1
36,968856,380739,614,8,4,1,0,39.3,Graduate,Salaried,Owned,Single,Home,1
53,567512,265794,718,5,1,3,6,46.83,Graduate,Salaried,Owned,Single,Home,1
33,732072,277073,819,6,0,0,0,37.85,Graduate,Unemployed,Owned,Married,Home,0
59,512808,240141,718,10,1,1,6,46.83,Graduate,Business,Mortgaged,Single,Business,1
40,655138,668864,663,12,4,4,1,95.0,Graduate,Unemployed,Owned,Single,Personal,1
49,518055,377828,744,3,1,2,5,72.93,Diploma,Salaried,Rented,Married,Education,1
55,1006415,235068,673,12,3,4,0,23.36,High School,Self-Employed,Rented,Single,Home,1
51,730014,365170,664,18,4,1,3,50.02,Graduate,Self-Employed,Owned,Married,Vehicle,1
54,602034,158478,623,0,1,1,3,26.32,Diploma,Salaried,Owned,Single,Vehicle,1
41,912596,510631,789,17,3,4,6,55.95,Graduate,Salaried,Rented,Married,Business,1
22,180000,207450,512,12,1,4,0,95.0,Postgraduate,Business,Rented,Single,Business,1
40,206897,370152,746,6,1,4,0,95.0,Diploma,Self-Employed,Rented,Married,Home,1
28,825085,449237,658,14,1,1,4,54.45,Postgraduate,Self-Employed,Owned,Single,Education,1
55,663303,353868,661,12,3,4,0,53.35,Graduate,Salaried,Rented,Single,Business,1
30,705098,313226,808,15,4,2,5,44.42,Postgraduate,Self-Employed,Mortgaged,Married,Vehicle,1
29,358193,301512,640,1,1,4,0,84.18,Postgraduate,Salaried,Mortgaged,Single,Education,1
30,644889,292098,642,1,1,4,6,45.29,High School,Salaried,Mortgaged,Married,Business,1
46,1090772,219262,681,12,4,2,3,20.1,Postgraduate,Self-Employed,Owned,Single,Education,0
43,831324,237072,719,6,2,1,6,28.52,Postgraduate,Salaried,Mortgaged,Single,Home,1
58,687335,507143,659,4,2,4,0,73.78,Graduate,Unemployed,Rented,Single,Vehicle,1
37,553408,284805,580,8,3,2,1,51.46,High School,Salaried,Rented,Divorced,Personal,1
32,563194,189989,629,14,0,2,3,33.73,Graduate,Salaried,Rented,Single,Vehicle,1
22,181576,227718,780,3,4,3,0,95.0,Diploma,Salaried,Mortgaged,Single,Personal,1
21,706681,454052,695,19,1,4,0,64.25,High School,Business,Rented,Married,Education,0
35,836006,394585,722,8,3,0,2,47.2,Postgraduate,Salaried,Rented,Single,Education,1
57,303364,378446,672,3,2,4,5,95.0,High School,Salaried,Rented,Married,Personal,1
41,504488,263947,644,1,3,2,4,52.32,Graduate,Salaried,Rented,Divorced,Vehicle,1
55,395358,380271,807,17,3,0,0,95.0,Graduate,Salaried,Rented,Married,Vehicle,0
24,437623,209901,677,2,0,1,0,47.96,Postgraduate,Self-Employed,Owned,Married,Home,1
24,661766,263654,659,8,0,2,4,39.84,Postgraduate,Self-Employed,Owned,Single,Business,1
53,191432,435773,767,13,4,3,2,95.0,High School,Salaried,Owned,Divorced,Education,1
25,785139,422399,639,10,2,2,5,53.8,Diploma,Business,Rented,Married,Personal,1
23,815848,162533,648,5,1,0,2,19.92,Postgraduate,Salaried,Rented,Single,Education,1
36,594757,180226,691,2,0,2,2,30.3,Graduate,Self-Employed,Mortgaged,Divorced,Education,0
57,180000,315218,690,14,0,1,1,95.0,High School,Salaried,Rented,Divorced,Vehicle,1
47,430788,541659,708,9,4,1,1,95.0,Graduate,Self-Employed,Rented,Married,Home,1
24,921238,50000,836,0,4,3,4,5.43,Graduate,Salaried,Owned,Single,Personal,0
53,180000,338967,714,3,1,4,3,95.0,Diploma,Self-Employed,Rented,Married,Home,1
53,573545,107354,524,11,1,0,4,18.72,Diploma,Salaried,Mortgaged,Married,Personal,1
52,390400,211194,713,3,2,3,0,54.1,Diploma,Unemployed,Rented,Married,Home,1
56,827005,248980,693,7,0,2,3,30.11,Graduate,Salaried,Mortgaged,Single,Education,0
30,501475,241129,693,2,2,1,3,48.08,Graduate,Unemployed,Mortgaged,Single,Home,1
59,738870,225269,707,15,3,3,6,30.49,Postgraduate,Unemployed,Owned,Single,Personal,1
33,774401,301009,688,12,4,1,2,38.87,Diploma,Salaried,Rented,Single,Home,1
52,1053970,225064,686,15,1,3,0,21.35,Graduate,Salaried,Rented,Married,Business,0
43,605353,95256,733,1,0,2,4,15.74,Graduate,Salaried,Rented,Single,Personal,1
51,732730,409182,652,7,0,0,1,55.84,Graduate,Unemployed,Owned,Single,Business,1
45,323288,405402,624,5,1,3,6,95.0,High School,Self-Employed,Owned,Married,Home,1
46,911891,418044,850,12,3,4,2,45.84,High School,Self-Employed,Owned,Single,Personal,0
45,482688,84297,640,16,0,2,5,17.46,High School,Salaried,Rented,Single,Education,1
51,526634,341849,697,4,3,3,4,64.91,Graduate,Business,Owned,Divorced,Home,1
49,645105,394637,585,15,2,0,3,61.17,High School,Salaried,Rented,Single,Education,1
26,306165,155632,698,11,3,1,4,50.83,Postgraduate,Salaried,Rented,Divorced,Personal,1
53,700329,301284,625,16,2,1,1,43.02,Graduate,Salaried,Rented,Single,Education,1
41,862843,283723,659,1,0,3,0,32.88,Graduate,Salaried,Mortgaged,Single,Personal,1
33,714445,557901,763,19,0,1,5,78.09,Postgraduate,Business,Rented,Married,Business,1
41,300443,569429,723,8,2,3,6,95.0,Graduate,Business,Owned,Single,Education,1
58,622762,66990,730,5,2,1,6,10.76,Diploma,Salaried,Mortgaged,Married,Vehicle,1
54,813246,649150,566,3,4,3,2,79.82,Postgraduate,Salaried,Mortgaged,Single,Business,1
53,236842,171868,819,19,4,1,2,72.57,Postgraduate,Business,Rented,Married,Vehicle,1
39,413551,437294,607,17,0,2,2,95.0,High School,Self-Employed,Rented,Single,Home,1
